,gamma,token_size,delta,z_score,p_value,num_tokens_scored,num_green_tokens
0,0.1,50,5,5.196152422706631,1.017277307272218e-07,363,66
1,0.25,50,5,2.8181818181818183,0.0024148226279699673,363,114
2,0.5,50,5,3.306642450813311,0.00047210664009389826,363,213
3,0.75,50,5,1.303030303030303,0.09628220813361954,363,283
4,0.9,50,5,0.9272595232439466,0.176895902320312,363,332
5,0.1,100,5,12.416511609932599,1.0631624192359956e-35,413,117
6,0.25,100,5,6.903520525184703,2.5364661341575887e-12,413,164
7,0.5,100,5,5.560366493747889,1.3460436109706446e-08,413,263
8,0.75,100,5,2.6168485703474413,0.004437285101670033,412,332
9,0.9,100,5,1.6894328874809241,0.04556825148985418,413,382
10,0.1,150,5,18.698015689819627,2.5690747999162926e-78,463,167
11,0.25,150,5,10.544874795332758,2.682213051433142e-26,463,214
12,0.5,150,5,7.575252421144821,1.7921501683638172e-14,463,313
13,0.75,150,5,3.836939174892072,6.228865583899642e-05,463,383
14,0.9,150,5,2.2152578654881605,0.013371185056971428,463,431
15,0.1,200,5,24.386112396186416,1.2005519204027113e-131,513,217
16,0.25,200,5,13.841415943523891,7.167733125196067e-44,513,264
17,0.5,200,5,9.404179735161811,2.621880387387806e-21,513,363
18,0.75,200,5,4.919692959668713,4.33400391533067e-07,513,433
19,0.9,200,5,2.84038605459504,0.0022529483550174927,513,481
