,gamma,token_size,delta,z_score,p_value,num_tokens_scored,num_green_tokens
0,0.05,50,1.5,-0.5177717395799722,0.6976912309674476,363,16
1,0.1,50,1.5,-1.2771687772982638,0.8992286662655726,363,29
2,0.15,50,1.5,-0.2131373674561708,0.5843900904063013,363,53
3,0.2,50,1.5,-1.3908892848659176,0.9178704987219011,363,62
4,0.25,50,1.5,0.3939393939393939,0.3468128925152081,363,94
5,0.05,100,1.5,1.2079026981726775,0.11354234581159522,413,26
6,0.1,100,1.5,1.9190645420899786,0.0274880830884047,413,53
7,0.15,100,1.5,1.5227624530099946,0.06390907339951168,413,73
8,0.2,100,1.5,0.04920678313051123,0.4803772528302246,413,83
9,0.25,100,1.5,2.6989072012038964,0.0034783786027722994,413,127
10,0.05,150,1.5,2.526859240172087,0.005754380941893091,463,35
11,0.1,150,1.5,6.304964694081681,1.441297994297971e-10,463,87
12,0.15,150,1.5,3.1952578359114727,0.000698529849931199,463,94
13,0.2,150,1.5,1.7892467375096652,0.03678754385165111,463,108
14,0.25,150,1.5,4.963872359126107,3.455068314623542e-07,463,162
15,0.05,200,1.5,4.122483501055749,1.8740473199353426e-05,513,46
16,0.1,200,1.5,10.257767254159281,5.4601224445348805e-25,513,121
17,0.15,200,1.5,4.704796964231268,1.2705936231857984e-06,513,115
18,0.2,200,1.5,3.9073704533418776,4.665301968638685e-05,513,138
19,0.25,200,1.5,7.009925201600498,1.1922278287526757e-12,513,197
