,gamma,token_size,delta,z_score,p_value,num_tokens_scored,num_green_tokens
0,0.25,50,0.5,-1.5454545454545454,0.9388818222759941,363,78
1,0.25,50,1.0,-0.5757575757575758,0.7176104736884756,363,86
2,0.25,50,2.0,0.5151515151515151,0.30322357337001055,363,95
3,0.25,50,5.0,2.002760525813535,0.022601499362100177,362,107
4,0.25,50,10.0,1.4930977065732127,0.0677058064015623,359,102
5,0.25,100,0.5,-0.9375151330497745,0.8257531784040968,413,95
6,0.25,100,1.0,-0.5966005392134929,0.724612944422181,413,98
7,0.25,100,2.0,2.471630805313042,0.006724916844472743,413,125
8,0.25,100,5.0,5.382453243615593,3.673873327668553e-08,411,150
9,0.25,100,10.0,4.905778905196062,4.6528651488460247e-07,405,144
10,0.25,150,0.5,-1.153764926715798,0.8757017214461462,463,105
11,0.25,150,1.0,-0.18782219737233918,0.5744919827762157,463,114
12,0.25,150,2.0,3.7832756899285465,7.738890649565996e-05,463,151
13,0.25,150,5.0,7.860375770049217,1.914913943305665e-15,460,188
14,0.25,150,10.0,7.96560418066609,8.220922246450641e-16,451,186
15,0.25,200,0.5,-0.943153572578976,0.8271988215611145,513,119
16,0.25,200,1.0,0.2803970080640199,0.3895864661212122,513,131
17,0.25,200,2.0,3.951048749993008,3.8904735617074984e-05,513,167
18,0.25,200,5.0,10.0728068535288,3.643414120556779e-24,510,226
19,0.25,200,10.0,10.917850728269082,4.735524315895257e-28,498,230
